Position,Coverage
157,4354.00
158,4355.00
159,4356.00
160,4356.00
161,4358.00
162,4359.00
163,4354.00
164,4352.00
165,4352.00
166,4352.00
167,4351.00
168,4351.00
169,4351.00
170,4351.00
171,4352.00
172,4352.00
173,4352.00
174,4352.00
175,4347.00
176,4349.00
177,4352.00
178,4352.00
179,4352.00
180,4352.00
181,4350.00
182,4350.00
183,4350.00
184,4350.00
185,4351.00
186,4351.00
187,4352.00
188,4352.00
189,4352.00
190,4352.00
191,4352.00
192,4352.00
193,4350.00
194,4350.00
195,4351.00
196,4351.00
197,4350.00
198,4350.00
199,4350.00
200,4352.00
201,4354.00
202,4354.00
203,4354.00
204,4354.00
205,4355.00
206,4355.00
207,4354.00
208,4355.00
209,4355.00
210,4355.00
211,4355.00
212,4356.00
213,4356.00
214,4356.00
215,4356.00
216,4356.00
217,4357.00
218,4357.00
219,4357.00
220,4361.00
221,4362.00
222,4362.00
223,4362.00
224,4362.00
225,4362.00
226,4361.00
227,4362.00
228,4361.00
229,4361.00
230,4361.00
231,4361.00
232,4361.00
233,4361.00
234,4361.00
235,4361.00
236,4361.00
237,4357.00
238,4357.00
239,4357.00
240,4357.00
241,4357.00
242,4357.00
243,4356.00
244,4355.00
245,4355.00
246,4355.00
247,4354.00
248,4354.00
249,4354.00
250,4354.00
251,4354.00
252,4354.00
253,4354.00
254,4353.00
255,4353.00
256,4353.00
257,4354.00
258,4355.00
259,4355.00
260,4355.00
261,4358.00
262,4360.00
263,4360.00
264,4360.00
265,4359.00
266,4359.00
267,4352.00
268,4351.00
269,4351.00
270,4351.00
271,4350.00
272,4353.00
273,4353.00
274,4354.00
275,4354.00
276,4656.00
277,4665.00
278,4675.00
279,4679.00
280,4683.00
281,4684.00
282,4685.00
283,4687.00
284,4688.00
285,4694.00
286,4696.00
287,4695.00
288,4698.00
289,4701.00
290,4701.00
291,4701.00
292,4701.00
293,4701.00
294,4701.00
295,4701.00
296,4701.00
297,4701.00
298,4703.00
299,4705.00
300,4705.00
301,4705.00
302,4705.00
303,4706.00
304,4708.00
305,4708.00
306,4708.00
307,4705.00
308,4710.00
309,4710.00
310,4710.00
311,4713.00
312,4714.00
313,4713.00
314,4713.00
315,4714.00
316,4714.00
317,4714.00
318,4713.00
319,4724.00
320,4719.00
321,4728.00
322,4729.00
323,4729.00
324,4729.00
325,4728.00
326,4727.00
327,4726.00
328,4726.00
329,4728.00
330,4729.00
331,4730.00
332,4728.00
333,4728.00
334,4728.00
335,4728.00
336,4728.00
337,4729.00
338,4729.00
339,4729.00
340,4734.00
341,4735.00
342,4735.00
343,4734.00
344,4734.00
345,4729.00
346,4729.00
347,4730.00
348,4730.00
349,4730.00
350,4733.00
351,4736.00
352,4738.00
353,4728.00
354,4733.00
355,4731.00
356,4731.00
357,4730.00
358,4729.00
359,4730.00
360,4730.00
361,4731.00
362,4732.00
363,4732.00
364,4744.00
365,4742.00
366,4744.00
367,4745.00
368,4744.00
369,4744.00
370,4742.00
371,4743.00
372,4743.00
373,4743.00
374,4742.00
375,4730.00
376,4732.00
377,4737.00
378,4736.00
379,4735.00
380,4733.00
381,4732.00
382,4731.00
383,4734.00
384,4735.00
385,4736.00
386,4736.00
387,4735.00
388,4740.00
389,4740.00
390,4740.00
391,4740.00
392,4740.00
393,4740.00
394,4741.00
395,4742.00
396,4742.00
397,4743.00
398,4743.00
399,4741.00
400,4740.00
401,4740.00
402,4739.00
403,4739.00
404,4740.00
405,4740.00
406,4740.00
407,4741.00
408,4740.00
409,4739.00
410,4738.00
411,4738.00
412,4737.00
413,4735.00
414,4679.00
415,4679.00
416,4678.00
417,4677.00
418,4676.00
419,4676.00
420,4676.00
421,4676.00
422,4677.00
423,4677.00
424,4677.00
425,4677.00
426,4677.00
427,4677.00
428,4677.00
429,4677.00
430,4677.00
431,4677.00
432,4677.00
433,4679.00
434,4678.00
435,4680.00
436,4688.00
437,4688.00
438,4682.00
439,4682.00
440,4682.00
441,4681.00
442,4680.00
443,4680.00
444,4679.00
445,4679.00
446,4679.00
447,4677.00
448,4678.00
449,4679.00
450,4681.00
451,4681.00
452,4684.00
453,4684.00
454,4690.00
455,4752.00
456,6564.00
457,8172.00
458,8251.00
459,8414.00
460,8433.00
461,8474.00
462,8518.00
463,8562.00
464,8587.00
465,8604.00
466,8612.00
467,8629.00
468,8656.00
469,8669.00
470,8673.00
471,8676.00
472,8701.00
473,8710.00
474,8714.00
475,8781.00
476,8788.00
477,8793.00
478,8795.00
479,8801.00
480,8806.00
481,8816.00
482,8826.00
483,8826.00
484,8826.00
485,8828.00
486,8831.00
487,8831.00
488,8832.00
489,8831.00
490,8836.00
491,8839.00
492,8841.00
493,8844.00
494,8844.00
495,8847.00
496,8849.00
497,8854.00
498,8844.00
499,8864.00
500,8857.00
501,8857.00
502,8857.00
503,8863.00
504,8863.00
505,8863.00
506,8863.00
507,8864.00
508,8864.00
509,8867.00
510,8867.00
511,8866.00
512,8867.00
513,8868.00
514,8868.00
515,8864.00
516,8864.00
517,8865.00
518,8863.00
519,8863.00
520,8863.00
521,8864.00
522,8887.00
523,8886.00
524,8887.00
525,8887.00
526,8882.00
527,8882.00
528,8905.00
529,8904.00
530,8888.00
531,8883.00
532,8882.00
533,8883.00
534,8883.00
535,8883.00
536,8851.00
537,8851.00
538,8852.00
539,8852.00
540,8865.00
541,8864.00
542,8864.00
543,8865.00
544,8865.00
545,8872.00
546,8872.00
547,8874.00
548,8874.00
549,8875.00
550,8875.00
551,8865.00
552,8862.00
553,8862.00
554,8862.00
555,8863.00
556,8862.00
557,8851.00
558,8873.00
559,9418.00
560,9439.00
561,9454.00
562,9479.00
563,9491.00
564,9493.00
565,9386.00
566,9388.00
567,9397.00
568,9397.00
569,9400.00
570,9405.00
571,9406.00
572,9407.00
573,9414.00
574,9414.00
575,9413.00
576,9415.00
577,9432.00
578,9452.00
579,9452.00
580,9452.00
581,9463.00
582,9464.00
583,9465.00
584,9464.00
585,9463.00
586,9463.00
587,9466.00
588,9469.00
589,9458.00
590,9460.00
591,9461.00
592,9460.00
593,9461.00
594,9463.00
595,9513.00
596,9514.00
597,9514.00
598,9503.00
599,9506.00
600,9509.00
601,9499.00
602,9494.00
603,9495.00
604,9493.00
605,9491.00
606,9491.00
607,9492.00
608,9493.00
609,9494.00
610,9494.00
611,9494.00
612,9525.00
613,9525.00
614,9527.00
615,9527.00
616,9526.00
617,9526.00
618,9503.00
619,9503.00
620,9503.00
621,9502.00
622,9502.00
623,9506.00
624,9506.00
625,9506.00
626,9567.00
627,9569.00
628,9569.00
629,9573.00
630,9573.00
631,9573.00
632,9574.00
633,9573.00
634,9570.00
635,9571.00
636,9571.00
637,9561.00
638,9561.00
639,9561.00
640,9563.00
641,9563.00
642,9565.00
643,9566.00
644,9566.00
645,9566.00
646,9566.00
647,9566.00
648,9559.00
649,9562.00
650,9566.00
651,9566.00
652,9568.00
653,9568.00
654,9568.00
655,9564.00
656,9563.00
657,9562.00
658,9562.00
659,9547.00
660,9547.00
661,9547.00
662,9534.00
663,9534.00
664,9532.00
665,9531.00
666,9532.00
667,9531.00
668,9528.00
669,9528.00
670,9529.00
671,9528.00
672,9528.00
673,9526.00
674,9511.00
675,9510.00
676,9534.00
677,9534.00
678,9532.00
679,9532.00
680,9536.00
681,9538.00
682,9536.00
683,9522.00
684,9509.00
685,9504.00
686,9505.00
687,9496.00
688,9465.00
689,9463.00
690,9461.00
691,9456.00
692,9455.00
693,9422.00
694,9403.00
695,9407.00
696,9233.00
697,9231.00
698,9231.00
699,9231.00
700,9231.00
701,9231.00
702,9238.00
703,9238.00
704,9238.00
705,9281.00
706,9282.00
707,9282.00
708,9276.00
709,9279.00
710,9279.00
711,9279.00
712,9271.00
713,9268.00
714,9270.00
715,9271.00
716,9271.00
717,9271.00
718,9271.00
719,9271.00
720,9271.00
721,9271.00
722,9271.00
723,9271.00
724,9270.00
725,9269.00
726,9269.00
727,9269.00
728,9269.00
729,9299.00
730,9299.00
731,9296.00
732,9296.00
733,9296.00
734,9297.00
735,9279.00
736,9279.00
737,9279.00
738,9279.00
739,9279.00
740,9280.00
741,9277.00
742,9296.00
743,9298.00
744,9299.00
745,9298.00
746,9297.00
747,9299.00
748,9299.00
749,9299.00
750,9296.00
751,9296.00
752,9296.00
753,9296.00
754,9296.00
755,9282.00
756,9281.00
757,9293.00
758,9296.00
759,9295.00
760,9294.00
761,9292.00
762,9292.00
763,9290.00
764,9290.00
765,9291.00
766,9280.00
767,9281.00
768,9286.00
769,9292.00
770,9291.00
771,9291.00
772,9292.00
773,9292.00
774,9291.00
775,9290.00
776,9276.00
777,9276.00
778,9295.00
779,9306.00
780,9304.00
781,9296.00
782,9296.00
783,9296.00
784,9300.00
785,9299.00
786,9299.00
787,9297.00
788,9298.00
789,9297.00
790,9301.00
791,9296.00
792,9298.00
793,9305.00
794,9301.00
795,9298.00
796,9293.00
797,9286.00
798,9283.00
799,9278.00
800,9276.00
801,9287.00
802,9216.00
803,9216.00
804,9218.00
805,9218.00
806,9212.00
807,9208.00
808,9150.00
809,9147.00
810,9146.00
811,9145.00
812,9144.00
813,9146.00
814,9146.00
815,9146.00
816,9138.00
817,9138.00
818,9138.00
819,9138.00
820,9155.00
821,9157.00
822,9155.00
823,9155.00
824,9153.00
825,9157.00
826,9157.00
827,9153.00
828,9138.00
829,9138.00
830,9141.00
831,9135.00
832,9119.00
833,9107.00
834,9144.00
835,9081.00
836,9078.00
837,9080.00
838,9080.00
839,9103.00
840,9107.00
841,9990.00
842,10829.00
843,10880.00
844,10996.00
845,11003.00
846,11021.00
847,11023.00
848,11037.00
849,11046.00
850,11061.00
851,11075.00
852,11113.00
853,11115.00
854,11177.00
855,11178.00
856,11189.00
857,11204.00
858,11204.00
859,11206.00
860,11207.00
861,11210.00
862,11210.00
863,11185.00
864,11111.00
865,11112.00
866,11112.00
867,11111.00
868,11103.00
869,11103.00
870,11099.00
871,11098.00
872,11104.00
873,11109.00
874,11109.00
875,11105.00
876,11090.00
877,11087.00
878,11044.00
879,11044.00
880,11061.00
881,11154.00
882,18393.00
883,25766.00
884,26068.00
885,26192.00
886,26271.00
887,26368.00
888,26495.00
889,26536.00
890,26672.00
891,26788.00
892,26867.00
893,26933.00
894,26941.00
895,26974.00
896,27020.00
897,27073.00
898,27085.00
899,27080.00
900,27097.00
901,27107.00
902,27101.00
903,27147.00
904,27149.00
905,27159.00
906,27176.00
907,27182.00
908,27183.00
909,27190.00
910,27217.00
911,27215.00
912,27214.00
913,27214.00
914,27192.00
915,27187.00
916,27126.00
917,27131.00
918,27138.00
919,27127.00
920,27134.00
921,27136.00
922,27142.00
923,27086.00
924,27089.00
925,27085.00
926,27075.00
927,27073.00
928,27009.00
929,27022.00
930,27018.00
931,26995.00
932,26946.00
933,26948.00
934,26946.00
935,26950.00
936,26879.00
937,26878.00
938,26875.00
939,26868.00
940,26864.00
941,26864.00
942,26858.00
943,26856.00
944,26854.00
945,26785.00
946,26775.00
947,26831.00
948,26832.00
949,26832.00
950,26832.00
951,26831.00
952,26830.00
953,26830.00
954,26828.00
955,26829.00
956,26816.00
957,26815.00
958,26804.00
959,26800.00
960,26793.00
961,26797.00
962,26787.00
963,26782.00
964,26777.00
965,26775.00
966,26769.00
967,26685.00
968,26670.00
969,26634.00
970,26621.00
971,26611.00
972,26604.00
973,26590.00
974,26566.00
975,26544.00
976,26505.00
977,26268.00
978,26241.00
979,26199.00
980,22698.00
981,22678.00
982,22678.00
983,22680.00
984,22679.00
985,22678.00
986,22678.00
987,22679.00
988,22679.00
989,22679.00
990,22680.00
991,22705.00
992,22706.00
993,22710.00
994,22712.00
995,22712.00
996,22712.00
997,22711.00
998,22712.00
999,22710.00
1000,22710.00
1001,22710.00
1002,22710.00
1003,22710.00
1004,22751.00
1005,22739.00
1006,22743.00
1007,22749.00
1008,22748.00
1009,22748.00
1010,22818.00
1011,22820.00
1012,22820.00
1013,22820.00
1014,22822.00
1015,22823.00
1016,22831.00
1017,22831.00
1018,22834.00
1019,22834.00
1020,22842.00
1021,22842.00
1022,22843.00
1023,22834.00
1024,22834.00
1025,22834.00
1026,22834.00
1027,22834.00
1028,22834.00
1029,22834.00
1030,22834.00
1031,22835.00
1032,22835.00
1033,22835.00
1034,22835.00
1035,22835.00
1036,22836.00
1037,22836.00
1038,22835.00
1039,22850.00
1040,22850.00
1041,22886.00
1042,22888.00
1043,22886.00
1044,22886.00
1045,22878.00
1046,22878.00
1047,22878.00
1048,22877.00
1049,22878.00
1050,22878.00
1051,22878.00
1052,22878.00
1053,22878.00
1054,22877.00
1055,22876.00
1056,22877.00
1057,22877.00
1058,22876.00
1059,22876.00
1060,22880.00
1061,22881.00
1062,22882.00
1063,22874.00
1064,22875.00
1065,22880.00
1066,22880.00
1067,22879.00
1068,22879.00
1069,22878.00
1070,22878.00
1071,22876.00
1072,22877.00
1073,22876.00
1074,22870.00
1075,22870.00
1076,22870.00
1077,22868.00
1078,22868.00
1079,22864.00
1080,22863.00
1081,22867.00
1082,22867.00
1083,22867.00
1084,22862.00
1085,22796.00
1086,22796.00
1087,22796.00
1088,22788.00
1089,22788.00
1090,22789.00
1091,22789.00
1092,22788.00
1093,22788.00
1094,22787.00
1095,22788.00
1096,22788.00
1097,22788.00
1098,22788.00
1099,22788.00
1100,22789.00
1101,22788.00
1102,22788.00
1103,22789.00
1104,22789.00
1105,22789.00
1106,22789.00
1107,22788.00
1108,22776.00
1109,22776.00
1110,22777.00
1111,22777.00
1112,22776.00
1113,22776.00
1114,22776.00
1115,22776.00
1116,22776.00
1117,22778.00
1118,22790.00
1119,22791.00
1120,22792.00
1121,22794.00
1122,22796.00
1123,22795.00
1124,22795.00
1125,22796.00
1126,22798.00
1127,22801.00
1128,22801.00
1129,22801.00
1130,22801.00
1131,22798.00
1132,22802.00
1133,22804.00
1134,22808.00
1135,22809.00
1136,22810.00
1137,22810.00
1138,22810.00
1139,22811.00
1140,22816.00
1141,22821.00
1142,22825.00
1143,28593.00
1144,28712.00
1145,28751.00
1146,28786.00
1147,28790.00
1148,28850.00
1149,28868.00
1150,28921.00
1151,28946.00
1152,28962.00
1153,28981.00
1154,28990.00
1155,29011.00
1156,29022.00
1157,29032.00
1158,29036.00
1159,29035.00
1160,29043.00
1161,29065.00
1162,29065.00
1163,29067.00
1164,29076.00
1165,29076.00
1166,29080.00
1167,29080.00
1168,29081.00
1169,29083.00
1170,29092.00
1171,29093.00
1172,29091.00
1173,29092.00
1174,29093.00
1175,29094.00
1176,29087.00
1177,29092.00
1178,29093.00
1179,29100.00
1180,29101.00
1181,29103.00
1182,29104.00
1183,29106.00
1184,29109.00
1185,29109.00
1186,29110.00
1187,29113.00
1188,29112.00
1189,29111.00
1190,29113.00
1191,29114.00
1192,29116.00
1193,29118.00
1194,29121.00
1195,29132.00
1196,29134.00
1197,29136.00
1198,29137.00
1199,29138.00
1200,29137.00
1201,29135.00
1202,29109.00
1203,29110.00
1204,29115.00
1205,29115.00
1206,29125.00
1207,29122.00
1208,29124.00
1209,29122.00
1210,29121.00
1211,29102.00
1212,29102.00
1213,29101.00
1214,29109.00
1215,29110.00
1216,29111.00
1217,29112.00
1218,29113.00
1219,29110.00
1220,29106.00
1221,29073.00
1222,29070.00
1223,29045.00
1224,29044.00
1225,29041.00
1226,29036.00
1227,29032.00
1228,28958.00
1229,28956.00
1230,28954.00
1231,28952.00
1232,28950.00
1233,28946.00
1234,28944.00
1235,28973.00
1236,28971.00
1237,28969.00
1238,28965.00
1239,28954.00
1240,28943.00
1241,28943.00
1242,28941.00
1243,28928.00
1244,28909.00
1245,28852.00
1246,28827.00
1247,28818.00
1248,28815.00
1249,28811.00
1250,28808.00
1251,28802.00
1252,28798.00
1253,28796.00
1254,28794.00
1255,28793.00
1256,28789.00
1257,28781.00
1258,28768.00
1259,28760.00
1260,28755.00
1261,28745.00
1262,28738.00
1263,28682.00
1264,28665.00
1265,28681.00
1266,28485.00
1267,28464.00
1268,28392.00
1269,27019.00
1270,27010.00
1271,27011.00
1272,27012.00
1273,27012.00
1274,27013.00
1275,27013.00
1276,27014.00
1277,27014.00
1278,27013.00
1279,27013.00
1280,27012.00
1281,27012.00
1282,27017.00
1283,27151.00
1284,27211.00
1285,27219.00
1286,27220.00
1287,27226.00
1288,27227.00
1289,27227.00
1290,27227.00
1291,27227.00
1292,27237.00
1293,27238.00
1294,27237.00
1295,27239.00
1296,27237.00
1297,27237.00
1298,27243.00
1299,27243.00
1300,27253.00
1301,27253.00
1302,27253.00
1303,27253.00
1304,27254.00
1305,27254.00
1306,27271.00
1307,27271.00
1308,27251.00
1309,27251.00
1310,27252.00
1311,27251.00
1312,27252.00
1313,27252.00
1314,27252.00
1315,27253.00
1316,27253.00
1317,27258.00
1318,27258.00
1319,27258.00
1320,27259.00
1321,27259.00
1322,27259.00
1323,27261.00
1324,27259.00
1325,27258.00
1326,27258.00
1327,27258.00
1328,27253.00
1329,27252.00
1330,27254.00
1331,27254.00
1332,27250.00
1333,27246.00
1334,27246.00
1335,27246.00
1336,27247.00
1337,27271.00
1338,27273.00
1339,27273.00
1340,27270.00
1341,27268.00
1342,27259.00
1343,27256.00
1344,27256.00
1345,27257.00
1346,27257.00
1347,27255.00
1348,27252.00
1349,27274.00
1350,27272.00
1351,27286.00
1352,27282.00
1353,27279.00
1354,27230.00
1355,27222.00
1356,27192.00
1357,27190.00
1358,27187.00
1359,27185.00
1360,27180.00
1361,27088.00
1362,27083.00
1363,27080.00
1364,27077.00
1365,27072.00
1366,27073.00
1367,27067.00
1368,27041.00
1369,27019.00
1370,27000.00
1371,26963.00
1372,26936.00
1373,26914.00
1374,26850.00
1375,26843.00
1376,26832.00
1377,26800.00
1378,26732.00
1379,26682.00
1380,26589.00
1381,26568.00
1382,26531.00
1383,26162.00
1384,25573.00
1385,25388.00
1386,10820.00
1387,10795.00
1388,10742.00
1389,10740.00
1390,10720.00
1391,10715.00
1392,10714.00
1393,10707.00
1394,10706.00
1395,10704.00
1396,10704.00
1397,10704.00
1398,10704.00
1399,10704.00
1400,10704.00
1401,10703.00
1402,10703.00
1403,10703.00
1404,10703.00
1405,10703.00
1406,10703.00
1407,10713.00
1408,10713.00
1409,10713.00
1410,10713.00
1411,10712.00
1412,10712.00
1413,10715.00
1414,10716.00
1415,10716.00
1416,10716.00
1417,10716.00
1418,10717.00
1419,10717.00
1420,10750.00
1421,10750.00
1422,10750.00
1423,10750.00
1424,10748.00
1425,10745.00
1426,10742.00
1427,10737.00
1428,10737.00
1429,10735.00
1430,10735.00
1431,10732.00
1432,10580.00
1433,10579.00
1434,10579.00
1435,10579.00
1436,10579.00
1437,10577.00
1438,10577.00
1439,10579.00
1440,10591.00
1441,10800.00
1442,10904.00
1443,11037.00
1444,11061.00
1445,11063.00
1446,11069.00
1447,11069.00
1448,11076.00
1449,11083.00
1450,11083.00
1451,11100.00
1452,11093.00
1453,11101.00
1454,11101.00
1455,11102.00
1456,11103.00
1457,11099.00
1458,11101.00
1459,11102.00
1460,11102.00
1461,11102.00
1462,11103.00
1463,11101.00
1464,11102.00
1465,11103.00
1466,11102.00
1467,11103.00
1468,11104.00
1469,11104.00
1470,11105.00
1471,11105.00
1472,11104.00
1473,11106.00
1474,11106.00
1475,11118.00
1476,11120.00
1477,11121.00
1478,11121.00
1479,11123.00
1480,11122.00
1481,11122.00
1482,11102.00
1483,11102.00
1484,11103.00
1485,11103.00
1486,11102.00
1487,11103.00
1488,11105.00
1489,11106.00
1490,11106.00
1491,11106.00
1492,11106.00
1493,11107.00
1494,11110.00
1495,11109.00
1496,11105.00
1497,11106.00
1498,11105.00
1499,11105.00
1500,11107.00
1501,11278.00
1502,11281.00
1503,11285.00
1504,11289.00
1505,11289.00
1506,11295.00
1507,11295.00
1508,11296.00
1509,11295.00
1510,11270.00
1511,11272.00
1512,11273.00
1513,11265.00
1514,11266.00
1515,11270.00
1516,11269.00
1517,11267.00
1518,11267.00
1519,11268.00
1520,11268.00
1521,11268.00
1522,11273.00
1523,11271.00
1524,11271.00
1525,11271.00
1526,11272.00
1527,11275.00
1528,11275.00
1529,11275.00
1530,11275.00
1531,11272.00
1532,11271.00
1533,11256.00
1534,11256.00
1535,11256.00
1536,11256.00
1537,11253.00
1538,11250.00
1539,11250.00
1540,11250.00
1541,11249.00
1542,11248.00
1543,11247.00
1544,11246.00
1545,11245.00
1546,11244.00
1547,11244.00
1548,11243.00
1549,11243.00
1550,11245.00
1551,11245.00
1552,11251.00
1553,11243.00
1554,11237.00
1555,11231.00
1556,11223.00
1557,11206.00
1558,11050.00
1559,11043.00
1560,10996.00
1561,10880.00
1562,10854.00
1563,10832.00
1564,10781.00
1565,10718.00
1566,10693.00
1567,10637.00
1568,10542.00
1569,10221.00
1570,8029.00
1571,5254.00
1572,5187.00
1573,5184.00
1574,5184.00
1575,5184.00
1576,5185.00
1577,5185.00
1578,5199.00
1579,5191.00
1580,5190.00
1581,5190.00
1582,5190.00
1583,5190.00
1584,5187.00
1585,5187.00
1586,5186.00
1587,5185.00
1588,5184.00
1589,5184.00
1590,5185.00
1591,5185.00
1592,5185.00
1593,5185.00
1594,5185.00
1595,5185.00
1596,5185.00
1597,5186.00
1598,5186.00
1599,5187.00
1600,5187.00
1601,5192.00
1602,5193.00
1603,5193.00
1604,5194.00
1605,5194.00
1606,5192.00
1607,5193.00
1608,5193.00
1609,5191.00
1610,5185.00
1611,5185.00
1612,5186.00
1613,5186.00
1614,5190.00
1615,5201.00
1616,5200.00
1617,5200.00
1618,5200.00
1619,5223.00
1620,5225.00
1621,5226.00
1622,5227.00
1623,5226.00
1624,5226.00
1625,5225.00
1626,5225.00
1627,5225.00
1628,5225.00
1629,5226.00
1630,5228.00
1631,5228.00
1632,5228.00
1633,5228.00
1634,5228.00
1635,5228.00
1636,5229.00
1637,5230.00
1638,5230.00
1639,5230.00
1640,5230.00
1641,5229.00
1642,5235.00
1643,5235.00
1644,5235.00
1645,5236.00
1646,5237.00
1647,5237.00
1648,5237.00
1649,5246.00
1650,5246.00
1651,5245.00
1652,5246.00
1653,5245.00
1654,5241.00
1655,5223.00
1656,5222.00
1657,5221.00
1658,5220.00
1659,5220.00
1660,5220.00
1661,5220.00
1662,5220.00
1663,5220.00
1664,5219.00
1665,5218.00
1666,5219.00
1667,5219.00
1668,5219.00
1669,5219.00
1670,5219.00
1671,5219.00
1672,5221.00
1673,5221.00
1674,5221.00
1675,5221.00
1676,5221.00
1677,5222.00
1678,5218.00
1679,5219.00
1680,5219.00
1681,5220.00
1682,5220.00
1683,5236.00
1684,5238.00
1685,5241.00
1686,5241.00
1687,5246.00
1688,5246.00
1689,5248.00
1690,5250.00
1691,5251.00
1692,5257.00
1693,6766.00
1694,6800.00
1695,6806.00
1696,6819.00
1697,6828.00
1698,6834.00
1699,6859.00
1700,6872.00
1701,6887.00
1702,6936.00
1703,6936.00
1704,6936.00
1705,6936.00
1706,6930.00
1707,6930.00
1708,6936.00
1709,7084.00
1710,7113.00
1711,7117.00
1712,7120.00
1713,7130.00
1714,7137.00
1715,7146.00
1716,7147.00
1717,7147.00
1718,7147.00
1719,7148.00
1720,7148.00
1721,7148.00
1722,7151.00
1723,7153.00
1724,7155.00
1725,7161.00
1726,7216.00
1727,12112.00
1728,12192.00
1729,12232.00
1730,12273.00
1731,12317.00
1732,12365.00
1733,12508.00
1734,12524.00
1735,12525.00
1736,12543.00
1737,12548.00
1738,12550.00
1739,12559.00
1740,12562.00
1741,12564.00
1742,12573.00
1743,12574.00
1744,12573.00
1745,12574.00
1746,12575.00
1747,12577.00
1748,12581.00
1749,12585.00
1750,12603.00
1751,12604.00
1752,12610.00
1753,12609.00
1754,12608.00
1755,12610.00
1756,12615.00
1757,12616.00
1758,12619.00
1759,12624.00
1760,12624.00
1761,12622.00
1762,12621.00
1763,12641.00
1764,12718.00
1765,12727.00
1766,12735.00
1767,12735.00
1768,12735.00
1769,12655.00
1770,12597.00
1771,12598.00
1772,12598.00
1773,12600.00
1774,12597.00
1775,12597.00
1776,12597.00
1777,12595.00
1778,12595.00
1779,12594.00
1780,12594.00
1781,12568.00
1782,12571.00
1783,12570.00
1784,12570.00
1785,12570.00
1786,12569.00
1787,12555.00
1788,12560.00
1789,12560.00
1790,12567.00
1791,12566.00
1792,12571.00
1793,12584.00
1794,12583.00
1795,12581.00
1796,12570.00
1797,12570.00
1798,12563.00
1799,12552.00
1800,12276.00
1801,12274.00
1802,12265.00
1803,12265.00
1804,12265.00
1805,12263.00
1806,12262.00
1807,12278.00
1808,12280.00
1809,12280.00
1810,12279.00
1811,12285.00
1812,12286.00
1813,12287.00
1814,12304.00
1815,12306.00
1816,12306.00
1817,12313.00
1818,12313.00
1819,12314.00
1820,12314.00
1821,12311.00
1822,12306.00
1823,12311.00
1824,12309.00
1825,12307.00
1826,12311.00
1827,12311.00
1828,12311.00
1829,12312.00
1830,12310.00
1831,12307.00
1832,12307.00
1833,12310.00
1834,12310.00
1835,12311.00
1836,12310.00
1837,12304.00
1838,12303.00
1839,12303.00
1840,12303.00
1841,12294.00
1842,12302.00
1843,12288.00
1844,12275.00
1845,12264.00
1846,12247.00
1847,11875.00
1848,11591.00
1849,11588.00
1850,11580.00
1851,11580.00
1852,11579.00
1853,11579.00
1854,11579.00
1855,11579.00
1856,11580.00
1857,11581.00
1858,11581.00
1859,11581.00
1860,11581.00
1861,11581.00
1862,11581.00
1863,11584.00
1864,11584.00
1865,11583.00
1866,11584.00
1867,11582.00
1868,11582.00
1869,11575.00
1870,11589.00
1871,11590.00
1872,11592.00
1873,11586.00
1874,11685.00
1875,11684.00
1876,11689.00
